name,lon,lat
Christchurch,172.63622540000006,-43.5320544
Wellington, 174.77623600000004, -41.2864603
Auckland, 174.76333150000005, -36.8484597
New Plymouth, 174.0752278, -39.0556253
Rotorua, 176.249746, 38.136848
Taupo, 176.070447, -38.684286
Napier, 176.91201780000006, -39.4928444
Palmerston North, 175.60821450000003, -40.3523065
Masterton, 175.6573502, -40.9511118
Nelson, 173.283965, -41.270632
Blenheim, 173.96125, -41.513443
Kaikoura, 173.679911, -42.399448
Tekapo, 170.477121, -44.004674
Timaru, 171.254973, -44.396972
Queenstown, 168.662644, -45.031162
Dunedin, 170.5027976, -45.8787605
Haast, 169.042437, -43.881107
Greymouth, 171.21076229999994, -42.4503925
Westport, 171.60589, -41.754522

          
